Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9sGId9SEFTPV56f3 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/lz4/FramedLZ4CompressorInputStreamTest.java - startLine: 505;startOffset: 31;endOffset: 43;endLine: 505,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9sGId9SEFTPV56f4 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/lz4/FramedLZ4CompressorInputStreamTest.java - startLine: 525;startOffset: 31;endOffset: 43;endLine: 525,Reliability (Bugs)
To-Do,New,Normal,"java:S5863:  ""Replace this assertion to not have the same actual and expected expression.""",MAJOR,5min,Key: AYfl9r4Bd9SEFTPV56KS Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/utils/CharsetsTest.java - startLine: 38;startOffset: 21;endOffset: 43;endLine: 38,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9r3td9SEFTPV56KC Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/utils/FixedLengthBlockOutputStreamTest.java - startLine: 305;startOffset: 8;endOffset: 20;endLine: 305,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9r2od9SEFTPV56I8 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/pack200/tests/RunCodecTest.java - startLine: 87;startOffset: 8;endOffset: 20;endLine: 87,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9r2od9SEFTPV56I9 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/pack200/tests/RunCodecTest.java - startLine: 89;startOffset: 8;endOffset: 20;endLine: 89,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9r-ld9SEFTPV56XA Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/TarArchiveInputStreamTest.java - startLine: 182;startOffset: 12;endOffset: 24;endLine: 182,Reliability (Bugs)
To-Do,New,Normal,"java:S2184:  ""Cast one of the operands of this addition operation to a long.""",MINOR,5min,Key: AYfl9rnDd9SEFTPV56Aq Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 124;startOffset: 16;endOffset: 17;endLine: 124,Reliability (Bugs)
To-Do,New,Normal,"java:S2184:  ""Cast one of the operands of this addition operation to a long.""",MINOR,5min,Key: AYfl9rnDd9SEFTPV56Ar Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 153;startOffset: 16;endOffset: 17;endLine: 153,Reliability (Bugs)
To-Do,New,Normal,"java:S2095:  ""Use try-with-resources or close this CheckedInputStream in a finally clause.""",BLOCKER,5min,Key: AYfl9rnDd9SEFTPV56A1 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 923;startOffset: 43;endOffset: 112;endLine: 923,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; isEmptyStream is nullable here.""",MAJOR,10min,Key: AYfl9rnDd9SEFTPV56A0 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 1102;startOffset: 51;endOffset: 76;endLine: 1102,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; isEmptyStream is nullable here.""",MAJOR,10min,Key: AYfl9rnDd9SEFTPV56Az Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 1106;startOffset: 46;endOffset: 71;endLine: 1106,Reliability (Bugs)
To-Do,New,Normal,"java:S2184:  ""Cast one of the operands of this multiplication operation to a long.""",MINOR,5min,Key: AYfl9rnDd9SEFTPV56Aw Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 1881;startOffset: 41;endOffset: 42;endLine: 1881,Reliability (Bugs)
To-Do,New,Normal,"java:S2184:  ""Cast one of the operands of this multiplication operation to a long.""",MINOR,5min,Key: AYfl9rnDd9SEFTPV56Ax Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 1965;startOffset: 41;endOffset: 42;endLine: 1965,Reliability (Bugs)
To-Do,New,Normal,"java:S2184:  ""Cast one of the operands of this multiplication operation to a long.""",MINOR,5min,Key: AYfl9rnDd9SEFTPV56Ay Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 2018;startOffset: 41;endOffset: 42;endLine: 2018,Reliability (Bugs)
To-Do,New,Normal,"java:S1206:  ""This class overrides equals() and should therefore also override hashCode().""",MINOR,15min,Key: AYfl9rhdd9SEFTPV555T Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/IcBands.java - startLine: 54;startOffset: 23;endOffset: 29;endLine: 54,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rjod9SEFTPV558O Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/NewAttributeBands.java - startLine: 714;startOffset: 19;endOffset: 23;endLine: 714,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rjod9SEFTPV558P Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/NewAttributeBands.java - startLine: 729;startOffset: 19;endOffset: 23;endLine: 729,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rjod9SEFTPV558Q Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/NewAttributeBands.java - startLine: 730;startOffset: 19;endOffset: 23;endLine: 730,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rjod9SEFTPV558R Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/NewAttributeBands.java - startLine: 731;startOffset: 19;endOffset: 23;endLine: 731,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; readNumber() can return null.""",MAJOR,10min,Key: AYfl9rjod9SEFTPV558J Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/NewAttributeBands.java - startLine: 743;startOffset: 31;endOffset: 58;endLine: 743,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rjod9SEFTPV558S Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/NewAttributeBands.java - startLine: 744;startOffset: 19;endOffset: 23;endLine: 744,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rjod9SEFTPV558T Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/NewAttributeBands.java - startLine: 769;startOffset: 15;endOffset: 19;endLine: 769,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rjod9SEFTPV558U Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/NewAttributeBands.java - startLine: 777;startOffset: 15;endOffset: 19;endLine: 777,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rjod9SEFTPV558V Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/NewAttributeBands.java - startLine: 784;startOffset: 23;endOffset: 27;endLine: 784,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rjod9SEFTPV558W Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/NewAttributeBands.java - startLine: 787;startOffset: 15;endOffset: 19;endLine: 787,Reliability (Bugs)
To-Do,New,Normal,"java:S1656:  ""Remove or correct this useless self-assignment.""",MAJOR,3min,Key: AYfl9rf2d9SEFTPV551N Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/NewAttributeBands.java - startLine: 241;startOffset: 26;endOffset: 27;endLine: 241,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rf2d9SEFTPV551Z Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/NewAttributeBands.java - startLine: 779;startOffset: 19;endOffset: 23;endLine: 779,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rf2d9SEFTPV551a Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/NewAttributeBands.java - startLine: 794;startOffset: 19;endOffset: 23;endLine: 794,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rf2d9SEFTPV551b Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/NewAttributeBands.java - startLine: 795;startOffset: 19;endOffset: 23;endLine: 795,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rf2d9SEFTPV551c Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/NewAttributeBands.java - startLine: 796;startOffset: 19;endOffset: 23;endLine: 796,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; readNumber() can return null.""",MAJOR,10min,Key: AYfl9rf1d9SEFTPV551F Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/NewAttributeBands.java - startLine: 808;startOffset: 31;endOffset: 58;endLine: 808,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rf2d9SEFTPV551d Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/NewAttributeBands.java - startLine: 809;startOffset: 19;endOffset: 23;endLine: 809,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rf2d9SEFTPV551e Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/NewAttributeBands.java - startLine: 834;startOffset: 15;endOffset: 19;endLine: 834,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rf2d9SEFTPV551f Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/NewAttributeBands.java - startLine: 842;startOffset: 15;endOffset: 19;endLine: 842,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rf2d9SEFTPV551g Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/NewAttributeBands.java - startLine: 849;startOffset: 23;endOffset: 27;endLine: 849,Reliability (Bugs)
To-Do,New,Normal,"java:S2677:  ""Use or store the value returned from read instead of throwing it away.""",MAJOR,5min,Key: AYfl9rf2d9SEFTPV551h Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/NewAttributeBands.java - startLine: 852;startOffset: 15;endOffset: 19;endLine: 852,Reliability (Bugs)
To-Do,New,Normal,"java:S4973:  ""Strings and Boxed types should be compared using equals().""",MAJOR,5min,Key: AYfl9rfud9SEFTPV551D Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/SegmentConstantPoolArrayCache.java - startLine: 140;startOffset: 45;endOffset: 47;endLine: 140,Reliability (Bugs)
To-Do,New,Normal,"java:S1206:  ""This class overrides equals() and should therefore also override hashCode().""",MINOR,15min,Key: AYfl9rcpd9SEFTPV55yI Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/AnnotationDefaultAttribute.java - startLine: 43;startOffset: 19;endOffset: 25;endLine: 43,Reliability (Bugs)
To-Do,New,Normal,"java:S1206:  ""This class overrides hashCode() and should therefore also override equals().""",MINOR,15min,Key: AYfl9rdPd9SEFTPV55yg Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/CPString.java - startLine: 53;startOffset: 15;endOffset: 23;endLine: 53,Reliability (Bugs)
To-Do,New,Normal,"java:S1206:  ""This class overrides equals() and should therefore also override hashCode().""",MINOR,15min,Key: AYfl9rcbd9SEFTPV55x6 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/LineNumberTableAttribute.java - startLine: 46;startOffset: 19;endOffset: 25;endLine: 46,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9r-5d9SEFTPV56Xu Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/TarFileTest.java - startLine: 113;startOffset: 8;endOffset: 20;endLine: 113,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9r-5d9SEFTPV56Xv Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/TarFileTest.java - startLine: 153;startOffset: 8;endOffset: 20;endLine: 153,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9r-5d9SEFTPV56Xw Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/TarFileTest.java - startLine: 317;startOffset: 8;endOffset: 20;endLine: 317,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9r-5d9SEFTPV56Xy Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/TarFileTest.java - startLine: 327;startOffset: 8;endOffset: 20;endLine: 327,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9r-5d9SEFTPV56Xz Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/TarFileTest.java - startLine: 332;startOffset: 8;endOffset: 20;endLine: 332,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9r-5d9SEFTPV56X1 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/TarFileTest.java - startLine: 342;startOffset: 8;endOffset: 20;endLine: 342,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9r8Nd9SEFTPV56SP Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/zip/Maven221MultiVolumeTest.java - startLine: 70;startOffset: 8;endOffset: 20;endLine: 70,Reliability (Bugs)
To-Do,New,Normal,"java:S2184:  ""Cast one of the operands of this multiplication operation to a long.""",MINOR,5min,Key: AYfl9ry9d9SEFTPV56F7 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/utils/TimeUtils.java - startLine: 183;startOffset: 103;endOffset: 104;endLine: 183,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9r-5d9SEFTPV56Xx Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/TarFileTest.java - startLine: 322;startOffset: 8;endOffset: 20;endLine: 322,Reliability (Bugs)
To-Do,New,Normal,"java:S5783:  ""Refactor the code of the lambda to not have multiple invocations throwing the same checked exception.""",CRITICAL,5min,Key: AYfl9r-5d9SEFTPV56X0 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/TarFileTest.java - startLine: 337;startOffset: 8;endOffset: 20;endLine: 337,Reliability (Bugs)
To-Do,New,Normal,"java:S2153:  ""Remove the unboxing from Character.""",MINOR,5min,Key: AYfl9rjNd9SEFTPV5571 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Segment.java - startLine: 502;startOffset: 39;endOffset: 70;endLine: 502,Reliability (Bugs)
To-Do,New,Normal,"java:S1206:  ""This class overrides equals() and should therefore also override hashCode().""",MINOR,15min,Key: AYfl9rdqd9SEFTPV55ys Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/CPRef.java - startLine: 52;startOffset: 19;endOffset: 25;endLine: 52,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; prevIndex is nullable here.""",MAJOR,10min,Key: AYfl9rd3d9SEFTPV55y3 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/NewAttribute.java - startLine: 178;startOffset: 38;endOffset: 53;endLine: 178,Reliability (Bugs)
To-Do,New,Normal,"java:S2184:  ""Cast one of the operands of this multiplication operation to a long.""",MINOR,5min,Key: AYfl9rnDd9SEFTPV56As Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 1699;startOffset: 49;endOffset: 50;endLine: 1699,Reliability (Bugs)
To-Do,New,Normal,"java:S2184:  ""Cast one of the operands of this multiplication operation to a long.""",MINOR,5min,Key: AYfl9rnDd9SEFTPV56At Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 1711;startOffset: 49;endOffset: 50;endLine: 1711,Reliability (Bugs)
To-Do,New,Normal,"java:S2184:  ""Cast one of the operands of this multiplication operation to a long.""",MINOR,5min,Key: AYfl9rnDd9SEFTPV56Au Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 1723;startOffset: 49;endOffset: 50;endLine: 1723,Reliability (Bugs)
To-Do,New,Normal,"java:S2184:  ""Cast one of the operands of this multiplication operation to a long.""",MINOR,5min,Key: AYfl9rnDd9SEFTPV56Av Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 1735;startOffset: 49;endOffset: 50;endLine: 1735,Reliability (Bugs)
To-Do,New,Normal,"java:S1872:  ""Use an instanceof comparison instead.""",MAJOR,5min,Key: AYfl9rwyd9SEFTPV56Fj Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/utils/OsgiUtils.java - startLine: 37;startOffset: 16;endOffset: 72;endLine: 37,Reliability (Bugs)
To-Do,New,Normal,"java:S2184:  ""Cast one of the operands of this addition operation to a long.""",MINOR,5min,Key: AYfl9rhNd9SEFTPV554A Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/BHSDCodec.java - startLine: 162;startOffset: 34;endOffset: 35;endLine: 162,Reliability (Bugs)
To-Do,New,Normal,"java:S1206:  ""This class overrides hashCode() and should therefore also override equals().""",MINOR,15min,Key: AYfl9rgmd9SEFTPV553D Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/AttributeLayout.java - startLine: 205;startOffset: 15;endOffset: 23;endLine: 205,Reliability (Bugs)
To-Do,New,Normal,"java:S4973:  ""Strings and Boxed types should be compared using equals().""",MAJOR,5min,Key: AYfl9rgmd9SEFTPV553C Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/AttributeLayout.java - startLine: 234;startOffset: 19;endOffset: 21;endLine: 234,Reliability (Bugs)
To-Do,New,Normal,"java:S2674:  ""Check the return value of the read call to see how many bytes were read.""",MINOR,15min,Key: AYfl9rgRd9SEFTPV552J Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/Segment.java - startLine: 511;startOffset: 15;endOffset: 19;endLine: 511,Reliability (Bugs)
To-Do,New,Normal,"java:S1206:  ""This class overrides hashCode() and should therefore also override equals().""",MINOR,15min,Key: AYfl9rZkd9SEFTPV55tb Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/CPInterfaceMethodRef.java - startLine: 38;startOffset: 15;endOffset: 23;endLine: 38,Reliability (Bugs)
To-Do,New,Normal,"java:S1206:  ""This class overrides hashCode() and should therefore also override equals().""",MINOR,15min,Key: AYfl9rcLd9SEFTPV55x2 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/CPMethod.java - startLine: 43;startOffset: 15;endOffset: 23;endLine: 43,Reliability (Bugs)
To-Do,New,Normal,"java:S1206:  ""This class overrides hashCode() and should therefore also override equals().""",MINOR,15min,Key: AYfl9rZsd9SEFTPV55td Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/CPMethodRef.java - startLine: 46;startOffset: 15;endOffset: 23;endLine: 46,Reliability (Bugs)
To-Do,New,Normal,"java:S5164:  ""Call remove() on tlScatterStreams.""",MAJOR,10min,Key: AYfl9roAd9SEFTPV56Bw Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/ParallelScatterZipCreator.java - startLine: 64;startOffset: 54;endOffset: 70;endLine: 64,Reliability (Bugs)
