Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 452 to the 15 allowed.""",CRITICAL,7h22min,Key: AYfl9rT3d9SEFTPV55ra Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BlockSort.java - startLine: 728;startOffset: 20;endOffset: 34;endLine: 728,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal Wrote  21 times.""",CRITICAL,44min,Key: AYfl9rhGd9SEFTPV553u Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/BcBands.java - startLine: 113;startOffset: 25;endOffset: 33;endLine: 113,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 52 to the 15 allowed.""",CRITICAL,42min,Key: AYfl9rfQd9SEFTPV55zx Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/BcBands.java - startLine: 431;startOffset: 16;endOffset: 22;endLine: 431,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 52 to the 15 allowed.""",CRITICAL,42min,Key: AYfl9rggd9SEFTPV5527 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/ClassBands.java - startLine: 1040;startOffset: 17;endOffset: 37;endLine: 1040,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal Wrote  19 times.""",CRITICAL,40min,Key: AYfl9ri9d9SEFTPV556_ Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CpBands.java - startLine: 401;startOffset: 25;endOffset: 33;endLine: 401,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 48 to the 15 allowed.""",CRITICAL,38min,Key: AYfl9rgRd9SEFTPV552H Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/Segment.java - startLine: 110;startOffset: 22;endOffset: 36;endLine: 110,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal  bytes from  18 times.""",CRITICAL,38min,Key: AYfl9ried9SEFTPV5557 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/MetadataBandGroup.java - startLine: 275;startOffset: 69;endOffset: 83;endLine: 275,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal Wrote  18 times.""",CRITICAL,38min,Key: AYfl9ried9SEFTPV5558 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/MetadataBandGroup.java - startLine: 275;startOffset: 37;endOffset: 45;endLine: 275,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 48 to the 15 allowed.""",CRITICAL,38min,Key: AYfl9rggd9SEFTPV5520 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/ClassBands.java - startLine: 785;startOffset: 17;endOffset: 36;endLine: 785,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 47 to the 15 allowed.""",CRITICAL,37min,Key: AYfl9rT3d9SEFTPV55rQ Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BlockSort.java - startLine: 299;startOffset: 17;endOffset: 31;endLine: 299,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 46 to the 15 allowed.""",CRITICAL,36min,Key: AYfl9rfQd9SEFTPV55zv Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/BcBands.java - startLine: 180;startOffset: 16;endOffset: 20;endLine: 180,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 45 to the 15 allowed.""",CRITICAL,35min,Key: AYfl9rUZd9SEFTPV55sH Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java - startLine: 374;startOffset: 17;endOffset: 40;endLine: 374,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 43 to the 15 allowed.""",CRITICAL,33min,Key: AYfl9rkzd9SEFTPV55_G Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/BandSet.java - startLine: 511;startOffset: 17;endOffset: 42;endLine: 511,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 41 to the 15 allowed.""",CRITICAL,31min,Key: AYfl9rT3d9SEFTPV55rW Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BlockSort.java - startLine: 617;startOffset: 17;endOffset: 27;endLine: 617,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 41 to the 15 allowed.""",CRITICAL,31min,Key: AYfl9rTRd9SEFTPV55qm Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java - startLine: 832;startOffset: 16;endOffset: 30;endLine: 832,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 40 to the 15 allowed.""",CRITICAL,30min,Key: AYfl9rkzd9SEFTPV55-9 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/BandSet.java - startLine: 353;startOffset: 18;endOffset: 31;endLine: 353,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 40 to the 15 allowed.""",CRITICAL,30min,Key: AYfl9rgYd9SEFTPV552S Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/Archive.java - startLine: 137;startOffset: 16;endOffset: 22;endLine: 137,Maintenance (Code Smells)
