ID,Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento,,Assegnatario,Tempo Effettivo,Hash Commit
M11,To-Do,New,Normal,"java:S1168:  ""Return an empty array instead of null.""",MAJOR,30min,Key: AYfl9rh8d9SEFTPV555q Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CodecEncoding.java - startLine: 296;startOffset: 15;endOffset: 19;endLine: 296,Maintenance (Code Smells),,Matteo Razionale,0h5m,54363345274829cd3f315e5ec2b95265fcaf4ef2
M12,To-Do,New,Normal,"java:S1168:  ""Return an empty array instead of null.""",MAJOR,30min,Key: AYfl9rd3d9SEFTPV55y6 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/NewAttribute.java - startLine: 149;startOffset: 15;endOffset: 19;endLine: 149,Maintenance (Code Smells),,Matteo Razionale,0h5m,9b982d5cde7f3df13be9458f91fa275aae83afae
M13,To-Do,New,Normal,"java:S1168:  ""Return an empty array instead of null.""",MAJOR,30min,Key: AYfl9rlGd9SEFTPV55_g Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/arj/ArjArchiveInputStream.java - startLine: 213;startOffset: 23;endOffset: 27;endLine: 213,Maintenance (Code Smells),,Matteo Razionale,0h5m,0eae33e9ad1b1e7d34c06264a91ef994ace76114
M14,To-Do,New,Normal,"java:S1119:  ""Refactor the code to remove this label and the need for it.""",MAJOR,30min,Key: AYfl9rT3d9SEFTPV55rc Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BlockSort.java - startLine: 752;startOffset: 8;endOffset: 10;endLine: 752,Maintenance (Code Smells),,Matteo Razionale,0h5m,b1e502744f0e86cdf1e399222ca215b453082026
M15,To-Do,New,Normal,"java:S1119:  ""Refactor the code to remove this label and the need for it.""",MAJOR,30min,Key: AYfl9rT3d9SEFTPV55re Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BlockSort.java - startLine: 776;startOffset: 20;endOffset: 26;endLine: 776,Maintenance (Code Smells),,Matteo Razionale,rejected,
M16,To-Do,New,Normal,"java:S1119:  ""Refactor the code to remove this label and the need for it.""",MAJOR,30min,Key: AYfl9rT3d9SEFTPV55rf Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BlockSort.java - startLine: 799;startOffset: 48;endOffset: 49;endLine: 799,Maintenance (Code Smells),,Matteo Razionale,rejected,
M17,To-Do,New,Normal,"java:S1168:  ""Return an empty array instead of null.""",MAJOR,30min,Key: AYfl9rv3d9SEFTPV56FG Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/jar/JarArchiveEntry.java - startLine: 74;startOffset: 15;endOffset: 19;endLine: 74,Maintenance (Code Smells),,Matteo Razionale,0h5m,a351124eeb6c441adae88080d86f49213c398806
M18,To-Do,New,Normal,"java:S5961:  ""Refactor this method to reduce the number of assertions from 112 to less than 25.""",MAJOR,20min,Key: AYfl9r80d9SEFTPV56TA Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/zip/X5455_ExtendedTimestampTest.java - startLine: 203;startOffset: 16;endOffset: 34;endLine: 203,Maintenance (Code Smells),,Matteo Razionale,0h45m,cd5333e9d7dc811d4f6d60e67926a6f6536b69bc
M19,To-Do,New,Normal,"java:S5961:  ""Refactor this method to reduce the number of assertions from 28 to less than 25.""",MAJOR,20min,Key: AYfl9r5Zd9SEFTPV56NS Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/zip/ZipFileTest.java - startLine: 571;startOffset: 16;endOffset: 34;endLine: 571,Maintenance (Code Smells),,Matteo Razionale,0h15m,fad2bc2e4fc2de73c65dad22ede6dda56870a471
M20,To-Do,New,Normal,"java:S1181:  ""Catch Exception instead of Throwable.""",MAJOR,20min,Key: AYfl9rk6d9SEFTPV55_U Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/archive/internal/nls/Messages.java - startLine: 56;startOffset: 23;endOffset: 32;endLine: 56,Maintenance (Code Smells),,Matteo Razionale,0h5m,cf7122f08f7c3f5aeac83876342955dbdc68d5b2
M21,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rhNd9SEFTPV553_ Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/BHSDCodec.java - startLine: 192;startOffset: 22;endOffset: 27;endLine: 192,Maintenance (Code Smells),,Matteo Razionale,0h10m,dc0da10be6d2fff215fbe5847120778c6a7bcb9a
M22,To-Do,New,Normal,"java:S107:  ""Method has 9 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYfl9rkhd9SEFTPV55-W Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/ClassBands.java - startLine: 60;startOffset: 14;endOffset: 36;endLine: 60,Maintenance (Code Smells),,Matteo Razionale,rejected,
M23,To-Do,New,Normal,"java:S107:  ""Method has 10 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYfl9rkhd9SEFTPV55-U Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/ClassBands.java - startLine: 252;startOffset: 13;endOffset: 26;endLine: 252,Maintenance (Code Smells),,Matteo Razionale,rejected,
M24,To-Do,New,Normal,"java:S107:  ""Method has 10 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYfl9rkhd9SEFTPV55-V Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/ClassBands.java - startLine: 539;startOffset: 13;endOffset: 35;endLine: 539,Maintenance (Code Smells),,Matteo Razionale,rejected,
M25,To-Do,New,Normal,"java:S107:  ""Method has 8 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYfl9ried9SEFTPV556h Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/MetadataBandGroup.java - startLine: 88;startOffset: 13;endOffset: 26;endLine: 88,Maintenance (Code Smells),,Matteo Razionale,rejected,
M26,To-Do,New,Normal,"java:S107:  ""Method has 11 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYfl9ried9SEFTPV556i Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/MetadataBandGroup.java - startLine: 163;startOffset: 13;endOffset: 35;endLine: 163,Maintenance (Code Smells),,Matteo Razionale,rejected,
M27,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rhsd9SEFTPV555c Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/NewAttribute.java - startLine: 43;startOffset: 22;endOffset: 27;endLine: 43,Maintenance (Code Smells),,Matteo Razionale,0h10m,9081d7056f24b2fef5548da00c727947d2c68d0a
M28,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rjNd9SEFTPV557b Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Segment.java - startLine: 263;startOffset: 30;endOffset: 35;endLine: 263,Maintenance (Code Smells),,Matteo Razionale,0h5m,f2deeaafde3d6cca47d0820e3aa5c63042c48d04
M29,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rjNd9SEFTPV557c Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Segment.java - startLine: 272;startOffset: 34;endOffset: 39;endLine: 272,Maintenance (Code Smells),,Matteo Razionale,0h5m,26b075c55a6e22f79619e2dd174281433b782062
M30,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rjNd9SEFTPV557e Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Segment.java - startLine: 323;startOffset: 38;endOffset: 43;endLine: 323,Maintenance (Code Smells),,Matteo Razionale,0h5m,e364a9f996fbb86ebd029027ab08c5dcc4e512b2
M31,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rjNd9SEFTPV557g Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Segment.java - startLine: 689;startOffset: 26;endOffset: 31;endLine: 689,Maintenance (Code Smells),,Matteo Razionale,0h5m,87c54fd051693c830db9e9f2b51b7d5e56501235
M32,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rjNd9SEFTPV557h Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Segment.java - startLine: 698;startOffset: 30;endOffset: 35;endLine: 698,Maintenance (Code Smells),,Matteo Razionale,0h5m,0cc0659efdbd4d6eae7cee109924616722a00146
M33,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rg8d9SEFTPV553R Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/IcTuple.java - startLine: 94;startOffset: 22;endOffset: 27;endLine: 94,Maintenance (Code Smells),,Matteo Razionale,0h5m,55b8d617492fa02ac9b81ad5629bd439d45c49a9
M34,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rfhd9SEFTPV550w Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/SegmentConstantPool.java - startLine: 71;startOffset: 18;endOffset: 23;endLine: 71,Maintenance (Code Smells),,Matteo Razionale,0h5m,f822a5c7ae08b7ba14554baa8fb287398a38602e
M35,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rfhd9SEFTPV550x Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/SegmentConstantPool.java - startLine: 98;startOffset: 22;endOffset: 27;endLine: 98,Maintenance (Code Smells),,Matteo Razionale,0h5m,b44ef5b7b712082d9f90216934f440fcb865bcae
M36,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rfhd9SEFTPV550z Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/SegmentConstantPool.java - startLine: 158;startOffset: 22;endOffset: 27;endLine: 158,Maintenance (Code Smells),,Matteo Razionale,0h5m,251b82e0834b72e5b3e983298d896c096d2e176f
M37,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rfhd9SEFTPV5500 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/SegmentConstantPool.java - startLine: 161;startOffset: 22;endOffset: 27;endLine: 161,Maintenance (Code Smells),,Matteo Razionale,0h5m,848be6a87613ec27eee17e2732d95cff32fd56ca
M38,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rfhd9SEFTPV5501 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/SegmentConstantPool.java - startLine: 174;startOffset: 18;endOffset: 23;endLine: 174,Maintenance (Code Smells),,Matteo Razionale,0h5m,1c34a0cb2525303b44fb7b164b98c610a556276b
M39,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rfhd9SEFTPV5503 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/SegmentConstantPool.java - startLine: 228;startOffset: 18;endOffset: 23;endLine: 228,Maintenance (Code Smells),,Matteo Razionale,0h5m,9bf8503851afd3e8a7c7f1cb78456cb42e57cb05
M40,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rgDd9SEFTPV551m Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/SegmentHeader.java - startLine: 287;startOffset: 63;endOffset: 68;endLine: 287,Maintenance (Code Smells),,Matteo Razionale,0h5m,61f7043db4c6dd67330a1c00442a0ba00267f427
M41,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rgDd9SEFTPV551l Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/SegmentHeader.java - startLine: 292;startOffset: 26;endOffset: 31;endLine: 292,Maintenance (Code Smells),,Matteo Razionale,0h5m,8444023d086d4096fc8065aeffbf9a66428c13ce
M42,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rc8d9SEFTPV55yV Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/ByteCode.java - startLine: 298;startOffset: 22;endOffset: 27;endLine: 298,Maintenance (Code Smells),,Matteo Razionale,0h5m,89326fa48a27f22c058289953177d3da78138880
M43,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rc8d9SEFTPV55yW Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/ByteCode.java - startLine: 302;startOffset: 22;endOffset: 27;endLine: 302,Maintenance (Code Smells),,Matteo Razionale,0h5m,ec151abe2f65f7b03cc65cb27b1bce15f8b7c051
M44,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rdkd9SEFTPV55yo Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/OperandManager.java - startLine: 110;startOffset: 22;endOffset: 27;endLine: 110,Maintenance (Code Smells),,Matteo Razionale,0h5m,9e5f8a4a3a900e850865218b2fc1cbdc7590e858
M45,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rdkd9SEFTPV55yp Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/OperandManager.java - startLine: 117;startOffset: 22;endOffset: 27;endLine: 117,Maintenance (Code Smells),,Matteo Razionale,0h5m,87442a5e5d588b07722640efdb3346b5a3dc5887
M46,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rdkd9SEFTPV55yq Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/OperandManager.java - startLine: 124;startOffset: 22;endOffset: 27;endLine: 124,Maintenance (Code Smells),,Matteo Razionale,0h5m,9c8934333a5b0f20c776e7fe35b63f730b2dda93
M47,To-Do,New,Normal,"java:S2925:  ""Remove this use of Thread.sleep().""",MAJOR,20min,Key: AYfl9r_Bd9SEFTPV56YY Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStreamTest.java - startLine: 202;startOffset: 15;endOffset: 20;endLine: 202,Maintenance (Code Smells),,Matteo Razionale,0h5m,85fd76645c9959b7e64a5debf68fec1393dcee3e
M48,To-Do,New,Normal,"java:S2925:  ""Remove this use of Thread.sleep().""",MAJOR,20min,Key: AYfl9r_Bd9SEFTPV56YZ Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStreamTest.java - startLine: 213;startOffset: 15;endOffset: 20;endLine: 213,Maintenance (Code Smells),,Matteo Razionale,0h5m,70328981ab4db4d404dbaa337b9e381aeb1bcec8
M49,To-Do,New,Normal,"java:S5961:  ""Refactor this method to reduce the number of assertions from 60 to less than 25.""",MAJOR,20min,Key: AYfl9r9cd9SEFTPV56UF Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/sevenz/SevenZOutputFileTest.java - startLine: 266;startOffset: 16;endOffset: 44;endLine: 266,Maintenance (Code Smells),,Matteo Razionale,0h30m,686977857ff7347c90722a267956e6fea9467602
M50,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rzbd9SEFTPV56F_ Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/java/util/jar/Pack200.java - startLine: 282;startOffset: 26;endOffset: 31;endLine: 282,Maintenance (Code Smells),,Matteo Razionale,0h5m,2151e75f6eb435fa22a9febd0b7ad15043d8d354
M51,To-Do,New,Normal,"java:S5961:  ""Refactor this method to reduce the number of assertions from 51 to less than 25.""",MAJOR,20min,Key: AYfl9r2Gd9SEFTPV56IX Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/pack200/tests/CodecTest.java - startLine: 141;startOffset: 16;endOffset: 31;endLine: 141,Maintenance (Code Smells),,Matteo Razionale,0h5m,bff94beada39c327146114bd5844f23acc4f39b9
M52,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rh8d9SEFTPV555h Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CodecEncoding.java - startLine: 95;startOffset: 22;endOffset: 27;endLine: 95,Maintenance (Code Smells),,Matteo Razionale,0h5m,1cc8d6905310ade3fa28f31b3041778076187d1a
M53,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rY2d9SEFTPV55tG Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/IcBands.java - startLine: 208;startOffset: 26;endOffset: 31;endLine: 208,Maintenance (Code Smells),,Matteo Razionale,0h5m,dbbabe8f249bb6179c3d3435982ca68e58121f8e
M54,To-Do,New,Normal,"java:S107:  ""Constructor has 8 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYfl9rg8d9SEFTPV553Y Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/IcTuple.java - startLine: 72;startOffset: 11;endOffset: 18;endLine: 72,Maintenance (Code Smells),,Matteo Razionale,rejected,
M55,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rd9d9SEFTPV55y7 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/BCIRenumberedAttribute.java - startLine: 62;startOffset: 22;endOffset: 27;endLine: 62,Maintenance (Code Smells),,Matteo Razionale,0h5m,47f3d7eae53a7e3543125819c5fafd19342f229c
M56,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rc8d9SEFTPV55yR Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/ByteCode.java - startLine: 251;startOffset: 22;endOffset: 27;endLine: 251,Maintenance (Code Smells),,Matteo Razionale,0h5m,d283d436c9e167e7cd8407fc72c724f1a1109b14
M57,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rc8d9SEFTPV55yS Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/ByteCode.java - startLine: 255;startOffset: 22;endOffset: 27;endLine: 255,Maintenance (Code Smells),,Matteo Razionale,0h5m,bdf82896de4eca6293b311893c1659f560446f3d
M58,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rc8d9SEFTPV55yT Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/ByteCode.java - startLine: 276;startOffset: 22;endOffset: 27;endLine: 276,Maintenance (Code Smells),,Matteo Razionale,0h5m,b0fea1818a417caedd5105a53d80a0d71139079e
M59,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rc8d9SEFTPV55yU Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/ByteCode.java - startLine: 280;startOffset: 22;endOffset: 27;endLine: 280,Maintenance (Code Smells),,Matteo Razionale,0h5m,6008f99dba559ea3919edab7b4b878a11ae8df6f
M60,To-Do,New,Normal,"java:S107:  ""Constructor has 21 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYfl9rdkd9SEFTPV55yr Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/OperandManager.java - startLine: 79;startOffset: 11;endOffset: 25;endLine: 79,Maintenance (Code Smells),,Matteo Razionale,rejected,
M61,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rbKd9SEFTPV55tt Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java - startLine: 365;startOffset: 22;endOffset: 27;endLine: 365,Maintenance (Code Smells),,Matteo Razionale,0h5m,dca01846db536fb0052b80c238cbdecd3a7f6403
M62,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9ra3d9SEFTPV55tn Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/VariableInstructionForm.java - startLine: 39;startOffset: 22;endOffset: 27;endLine: 39,Maintenance (Code Smells),,Matteo Razionale,0h5m,2865c0dba2e4cbe22569940250b79955686e7603
M63,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9ra3d9SEFTPV55to Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/VariableInstructionForm.java - startLine: 45;startOffset: 22;endOffset: 27;endLine: 45,Maintenance (Code Smells),,Matteo Razionale,0h5m,ed940a091c097ead5e7b4f041c96a6c868a98424
M64,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9ra3d9SEFTPV55tp Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/VariableInstructionForm.java - startLine: 63;startOffset: 22;endOffset: 27;endLine: 63,Maintenance (Code Smells),,Matteo Razionale,0h5m,2daa7d2a8dd2e958c6b495b3c583751234729a7b
M65,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9ra3d9SEFTPV55tq Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/VariableInstructionForm.java - startLine: 69;startOffset: 22;endOffset: 27;endLine: 69,Maintenance (Code Smells),,Matteo Razionale,0h5m,a84542cb0b9fdb3953ae0608db5c1f651238af24
M66,To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYfl9rjNd9SEFTPV557d Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Segment.java - startLine: 313;startOffset: 30;endOffset: 35;endLine: 313,Maintenance (Code Smells),,Matteo Razionale,0h5m,cb5484b530284c20426969bd8e9dea4ba2f80ec4
